Path,# vertices,# edges,# paths,# path constr,# unique path constr,path time,# cycles,# cycles constr,# unique cycle constr,cycle time,gurobi time,duration time
..\DataSets\DelayGraph_128.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_129.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_130.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_131.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_132.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_133.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_134.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_135.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_136.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_137.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_138.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_139.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_140.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_141.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_142.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_143.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_144.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_145.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_146.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_147.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_148.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_149.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_150.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_151.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_152.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_153.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_154.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_155.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_156.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_157.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_158.graphml,8,6,2,0,0,0.9999275207519531,0,0,0,0.0,0.0,0.9999275207519531,
..\DataSets\DelayGraph_159.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_160.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_161.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_162.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_163.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_164.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_165.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_166.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_167.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_168.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_171.graphml,48,51,19,14,2,6.000041961669922,0,0,0,2.9997825622558594,6.000041961669922,14.999866485595703,
..\DataSets\DelayGraph_174.graphml,145,167,801,0,0,65.99998474121094,5,5,5,30.00020980834961,59.00001525878906,155.0002098083496,
..\DataSets\DelayGraph_177.graphml,121,143,267,0,0,15.000104904174805,11,11,11,14.999866485595703,11.999845504760742,41.99981689453125,
..\DataSets\DelayGraph_180.graphml,48,51,19,14,2,0.9999275207519531,0,0,0,3.000020980834961,5.000114440917969,9.000062942504883,
..\DataSets\DelayGraph_181.graphml,1612,2088,5725,13450,3064,483.99996757507324,106,42,42,602.9999256134033,1203.9999961853027,2290.9998893737793,
..\DataSets\DelayGraph_186.graphml,1403,1864,7865,0,0,509.99999046325684,74,14,11,406.00013732910156,490.9999370574951,1407.0000648498535,
..\DataSets\DelayGraph_190.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_191.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_192.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_193.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_194.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_195.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_196.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_197.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_198.graphml,8,6,2,0,0,0.9999275207519531,0,0,0,0.0,0.0,0.9999275207519531,
