GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1090.graphml,0,1,64,177,2500,2323,16.9997215270996,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1091.graphml,0,1,64,177,2500,2323,16.0000324249268,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1092.graphml,30,55,69,61,2500,2439,60.0001811981201, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1093.graphml,10,30,277,61,2500,2439,427.999973297119, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1094.graphml,0,0,0,2040,2500,460,3.99994850158691,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1095.graphml,0,0,0,2040,2500,460,3.00002098083496,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1096.graphml,0,775,168,0,3493,3493,27.0001888275146,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1099.graphml,0,40,16,252,2500,2248,5.00011444091797,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1100.graphml,0,40,16,252,2500,2248,7.00020790100098,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1101.graphml,18,27,52,87,2500,2413,42.9997444152832, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1107.graphml,18,37,85,74,2500,2426,125.999927520752, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1111.graphml,18,27,52,87,2500,2413,45.0000762939453, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1114.graphml,18,27,52,87,2500,2413,39.0000343322754, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1117.graphml,0,40,16,252,2500,2248,6.00004196166992,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1118.graphml,30,30,16,1440,2500,1060,6.00004196166992, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1119.graphml,0,6,0,3385,10000,6615,31.9998264312744,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_112.graphml,4,12,142,6094,100000,93906,53.9999008178711,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1120.graphml,128,128,64,933,5000,4067,26.0000228881836,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1123.graphml,128,128,64,933,5000,4067,32.9999923706055,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1126.graphml,433,768,529,124,2500,2376,13.0002498626709,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1128.graphml,0,4,1104,73,2500,2427,358.000040054321,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1129.graphml,0,4,1104,73,2500,2427,369.999885559082,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1130.graphml,55,96,305,124,2500,2376,15.0003433227539,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1131.graphml,45,72,194,124,2500,2376,29.9999713897705,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1132.graphml,0,3,144,73,2500,2427,46.0000038146973,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1133.graphml,0,3,144,73,2500,2427,39.9999618530273,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1134.graphml,224,352,158,386,2500,2114,2195.99986076355,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1136.graphml,224,256,173,77,2500,2423,1739.00008201599,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1138.graphml,1920,2016,1,19095,25000,5905,36.9999408721924,*
