GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_120.graphml,0,0,0,25000,25000,0,0.0576,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1200.graphml,10,145,463,40,2500,2460,9.6445, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1201.graphml,10,171,463,40,2500,2460,5.9482, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1202.graphml,10,171,691,40,2500,2460,4.0598, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1203.graphml,6,24,114,473,2500,2027,2.2477,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1204.graphml,3,6,0,486,2500,2014,9.2683,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1205.graphml,3,6,0,486,2500,2014,7.4911,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1206.graphml,135,136,749,100,2500,2400,1.5311,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1207.graphml,0,0,0,2040,2500,460,1.0269,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1208.graphml,0,0,0,2040,2500,460,1.0119,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1209.graphml,0,0,0,4682,5000,318,0.1649,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_121.graphml,0,0,0,25000,25000,0,0.0688,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1210.graphml,0,0,0,4682,5000,318,0.1832,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1211.graphml,288,320,553,43,2500,2457,14.0598, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1212.graphml,288,320,576,272,2500,2228,17.7449, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1216.graphml,10,10,33,23188,25000,1812,0.5579,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1217.graphml,17,33,133,22161,25000,2839,0.9698,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_122.graphml,0,0,0,25000,25000,0,0.0495,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1220.graphml,9,33,333,22161,25000,2839,1.7925, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1223.graphml,33,33,33,22490,25000,2510,1.237,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1225.graphml,114000,354000,321,567,25000,24433,2.0737, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1226.graphml,70,77,1,21940,25000,3060,0.4579,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1227.graphml,70,77,1,22272,25000,2728,0.6535,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1228.graphml,4,4,72,6016,10000,3984,0.7827,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1229.graphml,16,52,98,1412,5000,3588,0.8683,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_123.graphml,0,0,0,25000,25000,0,0.1018,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1230.graphml,0,3,384,629,5000,4371,1.1294, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1231.graphml,2,6,128,587,5000,4413,0.9882,**
