GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1091.graphml,0,2,84,177,2500,2323,0.1291, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1092.graphml,75,130,1631,635,2500,1865,0.2962, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1093.graphml,15,65,3395,768,2500,1732,0.3626, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1094.graphml,0,1,448,2040,2500,460,0.0531, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1095.graphml,0,1,448,2040,2500,460,0.042, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1096.graphml,0,775,585,0,3493,3493,0.1973, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1099.graphml,0,42,56,282,2500,2218,0.0336, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1100.graphml,0,42,56,282,2500,2218,0.0423, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1101.graphml,18,46,185,339,2500,2161,0.0778, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1107.graphml,27,49,377,917,2500,1583,0.1105, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1111.graphml,18,46,228,339,2500,2161,0.0949, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1114.graphml,18,46,185,339,2500,2161,0.0796, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1117.graphml,0,42,56,282,2500,2218,0.0339, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1118.graphml,36,36,40,1215,2500,1285,0.024, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1119.graphml,0,13,292,4175,10000,5825,0.1012, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_112.graphml,8,30,625,38406,100000,61594,0.0778, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1120.graphml,320,320,12545,686,5000,4314,0.0766, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1123.graphml,320,320,12545,686,5000,4314,0.1018, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1126.graphml,753,1057,825,475,2500,2025,0.0639, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1128.graphml,0,5,1856,73,2500,2427,0.9142, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1129.graphml,0,5,1856,73,2500,2427,0.9704, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1130.graphml,95,133,489,591,2500,1909,0.0874, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1131.graphml,91,109,522,591,2500,1909,0.088, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1132.graphml,0,5,232,73,2500,2427,0.1391, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1133.graphml,0,5,232,73,2500,2427,0.1439, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1134.graphml,322,449,1054,121,2500,2379,1.0999, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1136.graphml,288,321,1036,77,2500,2423,1.2699, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1138.graphml,3840,5960,518,21599,25000,3401,0.2268, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1139.graphml,120,120,32,23669,25000,1331,0.0423, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1140.graphml,160,5120,151,22927,25000,2073,0.2076, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1141.graphml,25,57,656,765,2500,1735,0.1039, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1142.graphml,25,57,656,765,2500,1735,0.1487, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1143.graphml,20,24,603,357,2500,2143,0.0934, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1144.graphml,20,24,603,357,2500,2143,0.1733, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1145.graphml,16,17,40,1480,2500,1020,0.0309, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1146.graphml,16,17,40,1480,2500,1020,0.0285, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1147.graphml,0,0,0,1007,5000,3993,0.0237,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1148.graphml,0,0,0,1415,2500,1085,0.0474,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1149.graphml,0,0,0,1415,2500,1085,0.0228,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1150.graphml,11,15,350,53,2500,2447,0.2694, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1151.graphml,53,63,128,4671,5000,329,0.079, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1152.graphml,53,63,128,4671,5000,329,0.0739, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1153.graphml,45,48,646,80,2857,2777,0.1409, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1154.graphml,7,18,720,26,2857,2831,0.0841, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1155.graphml,7,18,720,26,2857,2831,0.1385, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1156.graphml,3888,9828,2127,13,2500,2487,0.0429, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1157.graphml,36,144,66,750,2500,1750,0.1114, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1158.graphml,36,144,66,750,2500,1750,0.1063, 
