GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1148.graphml,0,0,0,1415,2500,1085,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1149.graphml,0,0,0,1415,2500,1085,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1150.graphml,9,10,144,53,2500,2447,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1151.graphml,48,58,0,4013,5000,987,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1152.graphml,48,58,0,4013,5000,987,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1153.graphml,36,36,96,80,2857,2777,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1154.graphml,4,12,160,26,2857,2831,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1155.graphml,4,12,160,26,2857,2831,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1156.graphml,1944,7812,32,13,2500,2487,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1157.graphml,36,72,0,41,2500,2459,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1158.graphml,36,72,0,41,2500,2459,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1159.graphml,36,72,0,41,2500,2459,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_116.graphml,256,512,41,11772,20000,8228,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1160.graphml,5,5,0,696,2500,1804,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1161.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1162.graphml,10,50,1376,62,2500,2438,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1163.graphml,10,50,2225,196,2500,2304,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1164.graphml,10,50,2225,196,2500,2304,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1165.graphml,9,27,0,549,2500,1951,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1166.graphml,0,0,0,1915,2500,585,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1167.graphml,0,0,0,1915,2500,585,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1172.graphml,12,168,2282,38,2500,2462,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1177.graphml,31,63,85,13,2500,2487,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1178.graphml,22,22,22,169,2500,2331,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1183.graphml,60,60,36,94,2500,2406,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1184.graphml,24,52,64,821,5000,4179,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1185.graphml,24,52,64,821,5000,4179,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1186.graphml,0,55,0,798,5000,4202,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1187.graphml,0,55,0,798,5000,4202,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1188.graphml,0,3,0,1422,10000,8578,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1189.graphml,0,3,0,1422,10000,8578,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_119.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1190.graphml,31,249,80,79,2500,2421,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1191.graphml,6,57,173,8,2500,2492,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1192.graphml,6,57,173,8,2500,2492,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1193.graphml,6,57,173,8,2500,2492,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1194.graphml,19,54,176,116,2857,2741,0,**
