GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1086.graphml,10,20,1014,240,2500,2260,1.72, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1087.graphml,0,1,160,245,2500,2255,1.0323,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1088.graphml,0,1,160,245,2500,2255,1.1386,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1089.graphml,0,1,64,177,2500,2323,1.6554,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_109.graphml,18,18,18,97673,100000,2327,0.7553,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1090.graphml,0,1,64,177,2500,2323,1.09,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1091.graphml,0,1,64,177,2500,2323,0.8649,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1092.graphml,25,55,37,61,2500,2439,2.5426,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1093.graphml,5,30,180,61,2500,2439,2.7472,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1094.graphml,0,0,0,2040,2500,460,0.3205,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1095.graphml,0,0,0,2040,2500,460,0.3088,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1096.graphml,0,775,288,0,3493,3493,1.3808, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1099.graphml,0,41,16,282,2500,2218,0.2382, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1100.graphml,0,41,16,282,2500,2218,0.2568, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1101.graphml,9,27,26,87,2500,2413,0.6258,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1107.graphml,9,28,94,282,2500,2218,0.98, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1111.graphml,9,27,40,87,2500,2413,1.0377,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1114.graphml,9,27,26,87,2500,2413,0.6784,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1117.graphml,0,41,16,282,2500,2218,0.2541, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1118.graphml,25,30,8,420,2500,2080,0.1673,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1119.graphml,0,6,0,3385,10000,6615,0.7538,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_112.graphml,4,12,142,6094,100000,93906,0.6312,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1120.graphml,192,192,10432,368,5000,4632,0.8054, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1123.graphml,192,192,10432,368,5000,4632,0.9031, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1126.graphml,449,896,185,264,2500,2236,0.4446, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1128.graphml,0,4,1344,73,2500,2427,9.8464, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1129.graphml,0,4,1344,73,2500,2427,9.7428, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1130.graphml,57,112,185,264,2500,2236,0.4263, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1131.graphml,55,81,154,264,2500,2236,0.6543, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1132.graphml,0,4,192,73,2500,2427,1.1227, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1133.graphml,0,4,192,73,2500,2427,1.0831, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1134.graphml,224,352,385,181,2500,2319,16.6933, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1136.graphml,224,256,419,77,2500,2423,18.3313, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1138.graphml,1920,2016,1,19095,25000,5905,1.4277,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1139.graphml,110,110,0,23340,25000,1660,0.4043,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1140.graphml,160,5120,17,21138,25000,3862,1.288,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1141.graphml,16,40,224,10,2500,2490,0.6618, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1142.graphml,16,40,224,10,2500,2490,0.8069, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1143.graphml,12,12,352,357,2500,2143,0.9899, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1144.graphml,12,12,352,357,2500,2143,0.6171, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1145.graphml,8,8,8,765,2500,1735,0.1805,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1146.graphml,8,8,8,765,2500,1735,0.1901,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1147.graphml,0,0,0,1007,5000,3993,0.0549,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1148.graphml,0,0,0,1415,2500,1085,0.1688,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1149.graphml,0,0,0,1415,2500,1085,0.1781,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1150.graphml,9,11,174,53,2500,2447,1.951, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1151.graphml,48,58,0,4013,5000,987,0.5023,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1152.graphml,48,58,0,4013,5000,987,0.5092,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1153.graphml,39,39,193,31,2857,2826,1.0587, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1154.graphml,4,12,160,26,2857,2831,0.6414,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1155.graphml,4,12,160,26,2857,2831,0.6567,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1156.graphml,1944,7812,1976,13,2500,2487,0.27, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1157.graphml,36,72,0,41,2500,2459,1.5013,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1158.graphml,36,72,0,41,2500,2459,1.4511,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1159.graphml,36,72,0,41,2500,2459,1.4102,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_116.graphml,256,512,41,11772,20000,8228,22.2599,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1160.graphml,5,5,0,696,2500,1804,0.4608,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1161.graphml,0,0,0,2500,2500,0,0.0303,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1162.graphml,20,80,4486,62,2500,2438,2.0304, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1163.graphml,20,80,12958,62,2500,2438,3.2853, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1164.graphml,20,80,12958,62,2500,2438,3.4022, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1165.graphml,9,27,0,549,2500,1951,0.3971,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1166.graphml,0,0,0,1915,2500,585,1.9333,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1167.graphml,0,0,0,1915,2500,585,0.901,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1172.graphml,24,180,3330,38,2500,2462,9.476, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1177.graphml,31,34,124,182,2500,2318,0.9893,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1178.graphml,22,22,22,169,2500,2331,0.7952,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1183.graphml,60,60,316,94,2500,2406,0.2707, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1184.graphml,24,52,64,821,5000,4179,4.6872,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1185.graphml,24,52,64,821,5000,4179,10.5699,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1186.graphml,0,55,0,798,5000,4202,0.277,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1187.graphml,0,55,0,798,5000,4202,0.2697,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1188.graphml,0,3,0,1422,10000,8578,0.161,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1189.graphml,0,3,0,1422,10000,8578,0.173,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_119.graphml,0,0,0,25000,25000,0,0.045,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1190.graphml,31,249,230,14,2500,2486,0.858, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1191.graphml,6,63,817,8,2500,2492,1.0362, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1192.graphml,6,63,817,8,2500,2492,1.1068, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1193.graphml,6,63,817,8,2500,2492,1.1552, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1194.graphml,19,63,336,116,2857,2741,1.3126, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1195.graphml,4,8,32,6533,10000,3467,1.0022,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1196.graphml,0,2,196,0,1388,1388,0.7099, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1197.graphml,0,2,196,0,1388,1388,0.6059, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1198.graphml,0,0,0,25000,25000,0,0.057,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1199.graphml,10,171,691,40,2500,2460,11.0434, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_120.graphml,0,0,0,25000,25000,0,0.0709,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1200.graphml,10,145,463,40,2500,2460,14.1082, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1201.graphml,10,171,463,40,2500,2460,7.7106, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1202.graphml,10,171,691,40,2500,2460,3.8619, 
